Username,Konten,Lokasi
MarufMDJ,"@Bekan_Kutoanyar Info bagus buat Bu @puanmaharani_ri  nih , biar disampaiin ke Emaknya.
Cc
1. Bp @YaqutCQoumas
2. Bp @cholilnafis",
ElangUtama2,"@jokowi @puanmaharani_ri @officialMKRI Pls do simply voluntarily RESIGN, should your gentlemen decline to receive Public Complaints PLEASE. Pls note your siblings Food &amp; Beverages &amp; Others are PAID by the people [pls stop any imbecility]",South East Asia
MarufMDJ,"@Hilmi28 Info bagus nih , biar Bu @puanmaharani_ri  ngasih tahu Emaknya nih",
abjadbiru,"@keuangannews_id Mbak @puanmaharani_ri apakah ibu Anda tidak pernah ikut pengajian?
Jika tidak, kami memaklumi. Karena tidak pernah ikut pengajian, mungkin jadi tidak tau suasananya.
Jika pernah, saya sarankan Ibu Anda untuk Istiqomah agar tsaqofah Islam-nya semakin dalam.",Jakarta Capital Region
RelawanPuan_ID,"Para warga pun turut senang atas bantuan yang diberikan Relawan Puan. Bantuan tersebut adalah salah satu bentuk kepedulian terhadap masyarakat. Mereka juga turut memberikan dukungan penuh kepada Puan Maharani untuk maju Pilpres 2024.

#relawanpuan #2024bersamapuan https://t.co/hDWIJom8us",
GpmnMedia,"@P3nulis_alam1_ @ChangeOrg_ID @puanmaharani_ri @budimandjatmiko @Masinton @ariabima99 @pramonoanung @LaolyYasonna 
Apa Motif Sumatera Barat Hancurkan Rumah Bung Karno.Padahal Mbak Puan Maharani Masih Trah Minang ?",Indonesia
JatengTV,(04) Pada PT Perorangan seluruh kendala dan resiko kerugian serta keuntungan akan dihadapi dan ditanggung oleh pemilik usaha itu sendiri. #ptperorangan #badanhukum #badanusaha #umkm #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024 https://t.co/HRqCfZUnue,"Semarang, Jawa Tengah"
Komarud93071791,"@puanmaharani_ri Rosululloh sebagai utusan-Nya selalu menggelorakan kehidupan sederhana sehingga manusia hidup apa adanya sesuai kemampuan dari pada-Nya.

Sehingga hidup tanpa berhutang apa lagi pada rentenir musuh dari semua manusia.

Kurangi hutang agar hidup terbebas dari manusia durhaka !",
tadanamasaya,"@GumamPusat @brin_watch @jokowi @KSPgoid @msaid_didu @fadlizon @gibran_tweet @aniesbaswedan @SartonoHutomo @Suharso_M @mohmahfudmd @pakmul63 @Pak_JK @puanmaharani_ri @MataNajwa @NajwaShihab Spertinya emg perlu di introgasi sama kk @NajwaShihab @MataNajwa, supaya kelihatan jujur  atau tidaknya si lth ini😀😀😀😀",
twprabowo,"@keuangannews_id Kalau cara kerja dan cara pikir di @KemenBUMN  spt ini, sebaiknya segera diganti saja pejabat2nya. Ini mah mental tempe ""menjual"" bangsa dan negara. Mohon perhatiannya Pak/Ibu @jokowi @erickthohir @DPR_RI @puanmaharani_ri","Bogor, Jawa Barat"
